place,x,y,z,yaw,amcl_x,amcl_y,amcl_yaw,group,loop
rotundan_0,-39.323709909,188.780447704,0.015695978,3.153086704,66.88222902882593,237.15084904414442,2.6669122624738266,rotundan,
rotundan_1,-44.115646645,187.664768525,0.186430051,2.971983277,61.98302186238938,238.28776276470325,2.5292359130150435,rotundan,
rotundan_2,-51.612208287,195.101135232,0.360500065,2.454245573,58.56347768828148,248.3315058816306,2.125965691098225,rotundan,
rotundan_3,-61.487210369,199.215772037,0.310705334,1.760428289,51.84449325644657,256.44669997701624,1.2929036863610661,rotundan,
rotundan_4,-49.989313837,210.064035771,0.048701375,-0.815200870,67.18577055028935,261.10498842955104,-1.302531007122484,rotundan,
rotundan_5,-47.688516600,204.816802252,0.003990681,0.376388045,66.48372095125183,255.15226755588841,-0.08081776649369694,rotundan,
rotundan_6,-42.264382425,205.540350222,0.082079189,-0.055404544,71.45019986139545,253.31061602701132,-0.3959296258332884,rotundan,
rotundan_7,-36.410130009,200.245136194,0.044639257,3.656180140,74.41272132996201,245.92375851746542,-3.099242949605748,rotundan,
rotundan_8,-43.623654719,197.262188037,0.076655456,-1.025386546,66.93650768549499,246.6706162052185,-1.4783020666127082,rotundan,
road_to_west_0,-34.177864044,180.904431920,-0.010358057,-1.208601449,67.53548198672482,227.78398304970628,-1.6640811417091252,road_to_west,
road_to_west_1,-32.661140747,176.374743101,-0.112424642,-1.025922756,67.19167052697985,223.6788007777229,-1.609558199623161,road_to_west,
road_to_west_2,-30.000973947,169.851341863,-0.013128078,-1.329698302,66.657121339049,216.29241643850077,-1.7424634716403145,road_to_west,
road_to_west_3,-27.778400487,164.122124635,-0.117675040,-1.626802606,65.56055516278978,211.60136278200164,-2.0327553879879576,road_to_west,
road_to_west_4,-31.304090869,159.950086257,-0.141550058,3.573403029,61.14308352660519,207.8156530657084,-3.0928631306591274,road_to_west,
road_to_west_5,-47.397027049,151.987381480,-0.307387993,3.709693786,43.22675582926255,209.02000341375125,-3.014219218851552,road_to_west,
road_to_west_6,-65.206565722,143.367193388,-0.427254508,3.948019699,24.367434465726564,206.77526401040882,-2.904195256146881,road_to_west,
road_to_west_7,-68.141344972,135.330778163,-0.549191019,-1.347881418,17.584446049063324,201.69912372961946,-1.7968223963937378,road_to_west,
road_to_west_8,-76.325557690,131.133989648,-0.102158070,3.623338893,9.075881521856946,200.61431382486512,3.140137348962473,road_to_west,
parkinglot_west_0,-84.459503174,133.917007446,-0.102158992,3.602632743,2.0495544215928767,206.75101149159295,-3.115422967751497,parkinglot_west,
parkinglot_west_1,-150.492996216,101.113998413,-0.102158992,-1.165180860,-71.39979517989994,205.6352521524901,-1.6133086138885855,parkinglot_west,
parkinglot_west_2,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,0.006619392811869446,parkinglot_west,
parkinglot_west_3,-100.520843506,102.867996216,-0.102158992,0.458435995,-26.183331149381626,186.411873638503,-0.03266904051407464,parkinglot_west,
parkinglot_west_4,-142.518005371,82.543296814,-0.102158992,0.364894812,-72.53159610937462,185.3861158209806,-0.006619392811869446,parkinglot_west,
parkinglot_west_5,-131.823525061,63.197984598,-0.102158089,0.442655006,-70.81746955391576,164.71214440181592,-0.07542354560298084,parkinglot_west,
parkinglot_west_6,-115.999515970,72.060994961,-0.102158084,0.450599650,-52.99527355391446,165.2954741962787,0.042397996377295126,parkinglot_west,
parkinglot_west_7,-110.517714703,64.404010882,-0.100149107,-0.602931980,-50.95369451163398,155.80939876736275,-1.0218168036639135,parkinglot_west,
parkinglot_west_8,-103.593379961,67.159089134,-0.100149103,0.472651443,-43.70940654650033,155.23458802313573,0.034823510145472136,parkinglot_west,
parkinglot_west_9,-106.287909382,55.015839286,-0.102158082,3.576151598,-51.32248494065045,145.59872492147508,3.078831524672854,parkinglot_west,
parkinglot_west_10,-123.865388943,45.143959256,-0.102158072,-1.234842536,-71.01606513497649,144.44100795629583,-1.6602796125925514,parkinglot_west,
parkinglot_west_11,-119.447316406,36.523609939,-0.102158072,-1.309898713,-71.0406623604704,135.34511535056026,-1.812315223585977,parkinglot_west,
parkinglot_west_12,-115.480655312,30.132177365,-0.102158062,-0.181319469,-71.34031380996655,128.21164135490082,-0.7982434774072529,parkinglot_west,
parkinglot_west_13,-106.011407579,33.093240697,-0.102158098,-1.078470310,-61.227368161897964,125.74418886038903,-1.5378375741138448,parkinglot_west,
parkinglot_west_14,-103.345486774,28.728064841,-0.102158089,-1.129665155,-60.251454150100436,121.14724335504245,-1.533686162328857,parkinglot_west,
parkinglot_west_15,-89.604491886,34.494162802,-0.102158097,0.416279606,-45.29777336803457,120.25821291239008,-0.0031373860131010995,parkinglot_west,
parkinglot_west_16,-77.073704811,41.722322994,-0.102158074,0.447138038,-31.059981061695197,121.25986768718958,-0.01322988198001206,parkinglot_west,
parkinglot_west_17,-73.323638683,47.740643965,-0.102158089,0.434754019,-26.043369106952277,125.08260845021046,-0.05919060701461278,parkinglot_west,
parkinglot_west_18,-71.500849129,52.060996621,-0.102158090,0.828713426,-20.9811905723525,128.6436340936916,0.4137436901813615,parkinglot_west,
parkinglot_west_19,-70.797317706,70.004769336,-0.102158099,2.019689365,-12.476407539919636,143.3109446367199,1.5780478877744777,parkinglot_west,
parkinglot_west_20,-62.217311562,79.185504502,-0.102158067,0.368162697,-1.250103134698326,147.71999419726887,-0.07761492399790448,parkinglot_west,
parkinglot_west_21,-53.107977254,84.422407697,-0.102158097,0.501880438,8.936898088632104,148.17701101825065,0.10490922365739651,parkinglot_west,
road_to_spawn_0,-52.623557920,85.339116859,-0.134978844,0.175814797,9.428172873535662,149.4595670663099,-0.2813036482447121,road_to_spawn,
road_to_spawn_1,-47.122078426,83.476721574,-0.134978536,-0.582405948,13.532981654638203,145.11714080694995,-1.1104508567270372,road_to_spawn,
road_to_spawn_2,-37.570099388,75.186647570,-0.052450035,-1.132520389,18.84999844884136,133.03637540643146,-1.5670869253134232,road_to_spawn,
road_to_spawn_3,-37.523379705,73.536702935,0.056590471,-0.940886597,17.808634936110696,133.02514212498272,-1.458791642798889,road_to_spawn,
road_to_spawn_4,-27.923241271,56.712585592,0.181046694,-0.063469438,19.6843904780082,111.82503689121982,-0.5478913054066119,road_to_spawn,
road_to_spawn_5,-21.105461006,43.807470366,0.385813373,-1.046976331,19.964473673135636,98.07852764356367,-1.5029429605478215,road_to_spawn,
road_to_spawn_6,-18.041073515,31.245938909,0.606112328,-1.307529301,18.811511429354724,91.53108505979941,-1.6920986935129283,road_to_spawn,
road_to_spawn_7,-14.161394896,23.761011806,0.467715529,-1.270220751,15.071296275267745,77.25315585320706,-1.7727766624131984,road_to_spawn,
road_to_spawn_8,-22.055792721,22.610653763,0.620420380,3.219930865,9.297341155524437,79.92271601841703,2.779697770892356,road_to_spawn,
road_to_spawn_9,-25.024931443,28.548433912,0.878768296,2.037465716,8.927894663711546,87.69035992949675,1.5161359718436025,road_to_spawn,
road_to_spawn_10,-31.759649572,30.806549927,1.135737146,3.344407322,5.004776362241933,91.39954529634295,2.906731669466166,road_to_spawn,
spawn_0,-65.501545376,11.416239821,0.803547626,3.632698155,-34.82005668567761,89.47610095712658,-3.092896022786966,spawn,
spawn_1,-79.699812931,7.409376698,0.594482192,3.603205863,-50.512042631399346,90.99140449462338,-3.133943668032173,spawn,
spawn_2,-108.617100906,-10.141959339,0.138874221,-1.337867398,-81.45712444299538,88.21992385329355,-1.846442961422107,spawn,
spawn_3,-104.471473356,-15.351350686,-0.039506896,-0.069139544,-81.28979917615347,82.47198715909556,-0.5741227435374862,spawn,
spawn_4,-88.718023605,-8.454496422,0.138413825,0.438647539,-66.30992270969116,80.22797995010362,0.0023766653675661455,spawn,
spawn_5,-68.227553928,2.236545195,0.481138570,0.991372454,-40.43089821129553,81.87909636832745,0.42200936277072576,spawn,
spawn_6,-59.361285407,5.257829226,0.660552917,0.458455562,-30.99815017562288,80.1148130045156,0.033539266867321185,spawn,
spawn_7,-51.059354748,10.566764486,0.760189670,0.620924098,-28.590951449671284,80.04100764688687,0.3335851257598974,spawn,
spawn_8,-49.299698076,9.787955190,0.798141725,-0.855114616,-23.774757520604425,79.73367051465895,-1.2975832057038825,spawn,
road_to_east_0,-47.399409433,8.245212579,0.955722533,-0.955476695,-22.568740393783916,77.73623030332212,-1.3844234256479808,road_to_east,
road_to_east_1,-34.877548969,2.935330442,0.703574850,-0.323684065,-20.83630500090324,70.20627474095532,-0.7681075570745544,road_to_east,
road_to_east_2,-25.840845408,-1.311324264,0.603370054,-0.373737431,-12.443704715099644,60.36895096242863,-0.8512793783797576,road_to_east,
road_to_east_3,-0.724861930,-12.084130665,0.028955364,-0.254624928,5.239470517956514,41.51136096060635,-0.6727335444018121,road_to_east,
road_to_east_4,4.129714143,-13.715220360,-0.122723136,-1.609255011,9.087596351866418,38.37915654520471,-2.051951649011701,road_to_east,
road_to_east_5,1.278119508,-21.738878827,0.106478888,3.480631621,4.202450817375535,32.18000693952611,3.018100066425574,road_to_east,
parkinglot_east_0,-1.515069962,-27.814300537,0.104198011,3.559253278,5.780418606410491,25.652684192147635,3.1339085930844344,parkinglot_east,
parkinglot_east_1,-18.284000397,-35.255901337,0.104198812,3.559255301,-12.068900323492986,25.824049909155775,3.1251480662611746,parkinglot_east,
parkinglot_east_2,-26.774599075,-16.123199463,0.104198011,3.581974364,-12.00210837544538,47.46583432121265,3.1372248992754384,parkinglot_east,
parkinglot_east_3,-77.172401428,-39.873100281,0.104198011,-1.130359227,-67.35584635053164,47.12103188489071,-1.5403204308555252,parkinglot_east,
parkinglot_east_4,-68.347000134,-58.598201772,0.103818281,-1.130359944,-67.36256639830252,27.438354076234784,-1.5524706184646522,parkinglot_east,
parkinglot_east_5,-59.149101257,-78.113700867,0.104198535,-1.130359944,-67.62804505515899,6.1592128471032135,-1.5982951004317096,parkinglot_east,
parkinglot_east_6,-49.166198702,-95.119201647,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,parkinglot_east,
parkinglot_east_7,-39.183200836,-112.124702454,0.104198168,0.474237414,-66.1857804178504,-14.070832087282326,0.018485272264119904,parkinglot_east,
parkinglot_east,-29.114726983,-84.946266243,0.104198731,0.522397011,-43.62540693361591,-12.821200616536547,0.08542999661937647,parkinglot_east,
parkinglot_east_8,-15.874511800,-97.717211097,0.103958421,0.466226878,-37.16559441004349,-31.085700107950867,0.06056542769164994,parkinglot_east,
parkinglot_east_9,24.306768635,-77.476933919,0.104198812,0.500748815,7.7277267747785245,-30.69202554007372,0.03585418297231946,parkinglot_east,
road_to_strip_0,23.299676435,-77.751660694,0.104198927,0.669104770,6.413105961603299,-30.512237869362803,0.17229356727810383,road_to_strip,
road_to_strip_1,36.003090702,-73.332943442,-0.555525824,-1.172296255,19.579666975047846,-34.14585113333436,-1.5053756184444005,road_to_strip,
road_to_strip_2,39.655660608,-80.768446731,-0.591976069,-1.107859186,19.440972474701574,-44.0421319697246,-1.5491912316403125,road_to_strip,
road_to_strip_3,45.205685438,-92.193081479,-0.567883959,-1.135902312,20.197289283059042,-56.62567518750564,-1.4996255207941007,road_to_strip,
road_to_strip_4,51.868703596,-107.617921156,-0.552048689,-1.102404389,20.35323395892794,-71.50895770867464,-1.4060785039794566,road_to_strip,
road_to_strip_5,64.877942791,-127.656747614,-0.389804730,-0.873397667,22.452363804961212,-96.011217185322,-1.365508033022821,road_to_strip,
road_to_strip_6,79.390282302,-145.494676969,-0.175378033,-0.572246703,26.390738302050796,-114.9868055242067,-1.135875873868143,road_to_strip,
road_to_strip_8,87.681524849,-153.916105850,-0.238587677,-0.708898772,30.85001890274344,-127.0718294840333,-1.0572981900997873,road_to_strip,
road_to_strip_9,99.639633321,-162.396790042,-0.309554631,-0.677039840,39.39396060319916,-141.90739959514437,-1.1137136625307853,road_to_strip,
strip_0,124.980179392,-174.660024116,-0.537293092,-0.181472938,53.040291361783815,-160.61434108337062,-0.796894591361217,strip,
strip_1,160.342928256,-181.193933480,-0.731352869,-0.052560732,83.08400568285099,-183.17175030656762,-0.44896633821227183,strip,
strip_2,190.410379332,-179.640319880,-0.893767816,0.214796211,108.85173232804233,-194.77359992120722,-0.2785192836160799,strip,
strip_3,217.283334603,-172.046810785,-0.817530400,0.433544006,140.66828877578953,-200.70332286324353,0.06464716319056374,strip,
